"id","brand","description","name","price","quantity","release_date","available","image","category","rating"
31,"Nike","Nike running shoes offer comfort and support for various terrains. Ideal for runners, they ensure a stable grip. Durable materials enhance longevity. Available in multiple sizes and colors.","Nike Running Shoes","120.00",150,"2023-01-15",True,"../Images/product-1.png","Sports","4"
32,"Adidas","The Adidas soccer ball is designed for professional games. High-quality materials ensure optimal performance. Its design provides excellent control and accuracy. Suitable for all levels of play.","Adidas Soccer Ball","30.00",180,"2022-05-20",True,"../Images/product-2.png","Sports","3"
33,"Wilson","Wilson tennis racket combines durability with lightness. Perfect for players seeking control and power. Advanced materials make it resilient. Ideal for both amateurs and professionals.","Wilson Tennis Racket","95.00",130,"2023-03-10",False,"../Images/product-3.png","Sports","2"
34,"Under Armour","Under Armour gym bag features multiple compartments. Spacious and versatile for various needs. Durable construction withstands heavy use. Stylish design complements any athletic outfit.","Under Armour Gym Bag","50.00",120,"2022-07-25",True,"../Images/product-4.png","Sports","4"
35,"Puma","Puma basketball shoes offer style and support. Engineered for high performance on the court. Durable materials provide long-lasting use. Available in a range of sizes.","Puma Basketball Shoes","110.00",200,"2022-11-05",False,"../Images/product-5.png","Sports","3"
36,"Speedo","Speedo swim goggles ensure clear vision with anti-fog technology. Comfortable fit for extended use. Durable and resistant to wear. Ideal for both competitive and recreational swimming.","Speedo Swim Goggles","20.00",160,"2023-02-18",True,"../Images/product-6.png","Sports","4"
37,"Reebok","Reebok yoga mat offers high-density comfort. Provides stability for various yoga poses. Durable material ensures longevity. Lightweight and easy to carry for convenience.","Reebok Yoga Mat","35.00",140,"2022-09-12",True,"../Images/product-7.png","Sports","2"
38,"New Balance","New Balance running shorts are breathable and lightweight. Designed for optimal performance. Comfortable fit for long runs. Available in various sizes and colors.","New Balance Running Shorts","45.00",110,"2023-04-25",False,"../Images/product-8.png","Sports","3"
39,"Apple","Apple iPhone 14 features the latest technology. Advanced camera system for stunning photos. High-performance processor for seamless multitasking. Sleek design with robust build quality.","Apple iPhone 14","999.00",150,"2023-09-01",True,"../Images/product-9.png","Electronics","4"
40,"Samsung","Samsung Galaxy S22 offers a high-performance experience. Excellent camera capabilities for vivid photos. Sleek design and durable construction. Features the latest Android OS.","Samsung Galaxy S22","899.00",170,"2022-08-18",True,"../Images/product-10.png","Electronics","4"
41,"Sony","Sony WH-1000XM4 headphones provide noise-cancelling features. Wireless connectivity for convenience. Superior sound quality for an immersive experience. Long battery life for extended use.","Sony WH-1000XM4","350.00",100,"2022-12-10",False,"../Images/product-11.png","Electronics","3"
42,"Dell","Dell XPS 13 is a premium ultrabook with high performance. Sleek and lightweight design. Features a high-resolution display for clarity. Ideal for both work and entertainment.","Dell XPS 13","1200.00",80,"2023-01-30",True,"../Images/product-12.png","Electronics","4"
43,"GoPro","GoPro HERO10 action camera captures 5.3K video. Rugged and waterproof design for adventurous use. Easy to mount and operate. Delivers stunning video quality.","GoPro HERO10","450.00",90,"2023-05-22",True,"../Images/product-13.png","Electronics","3"
44,"Amazon","Amazon Echo Dot is a smart speaker with Alexa integration. Compact design fits anywhere. Voice control for smart home devices. Streams music, answers questions, and more.","Amazon Echo Dot","50.00",200,"2022-10-05",False,"../Images/product-14.png","Electronics","2"
45,"Bose","Bose SoundLink Mini delivers powerful sound in a compact size. Bluetooth connectivity for wireless use. Durable design withstands regular use. Long battery life for extended playback.","Bose SoundLink Mini","130.00",140,"2023-07-15",True,"../Images/product-15.png","Electronics","4"
46,"Apple","Apple Watch Series 8 offers health tracking features. Stylish design and customizable bands. Advanced sensors for accurate tracking. Long battery life for all-day use.","Apple Watch Series 8","400.00",110,"2023-06-01",True,"../Images/product-16.png","Electronics","3"
47,"Harper Lee","To Kill a Mockingbird is a classic novel on racial injustice. Set in the American South, it explores deep social issues. A timeless story with compelling characters. Widely studied in literature courses.","To Kill a Mockingbird","15.00",150,"2022-03-01",True,"../Images/product-17.png","Books","4"
48,"George Orwell","1984 is a dystopian novel depicting a totalitarian society. Explores themes of surveillance and control. A powerful narrative with profound insights. Continues to be relevant in modern times.","1984","12.00",180,"2022-04-15",True,"../Images/product-18.png","Books","3"
49,"F. Scott Fitzgerald","The Great Gatsby is a novel about the American dream. Captures the essence of the Roaring Twenties. Explores themes of wealth and social status. A cornerstone of American literature.","The Great Gatsby","10.00",200,"2023-01-20",False,"../Images/product-19.png","Books","2"
50,"Herman Melville","Moby Dick is an epic tale of the hunt for the white whale. Explores themes of obsession and revenge. Rich in symbolism and detailed narrative. A significant work in American literature.","Moby Dick","20.00",120,"2022-06-10",True,"../Images/product-20.png","Books","4"
51,"Jane Austen","Pride and Prejudice is a romantic novel set in 19th-century England. Explores themes of love and social status. Features strong characters and witty dialogue. Remains popular among readers.","Pride and Prejudice","14.00",140,"2022-09-25",True,"../Images/product-21.png","Books","3"
52,"J.D. Salinger","The Catcher in the Rye is a story about teenage angst. Focuses on themes of identity and alienation. Features the iconic character Holden Caulfield. A seminal work in modern literature.","The Catcher in the Rye","18.00",130,"2023-03-15",False,"../Images/product-22.png","Books","2"
53,"J.R.R. Tolkien","The Hobbit is a fantasy novel about a hobbitâ€™s adventure. Rich in detail and imaginative storytelling. Introduces readers to Middle-earth. A beloved classic in fantasy literature.","The Hobbit","22.00",150,"2022-11-30",True,"../Images/product-23.png","Books","4"
54,"Aldous Huxley","Brave New World is a novel about a dystopian society. Explores themes of technology and control. Thought-provoking and relevant. Continues to be a critical exploration of modernity.","Brave New World","17.00",160,"2023-02-01",True,"../Images/product-24.png","Books","3"
55,"Rolex","Rolex Submariner is a classic diving watch. Features robust and reliable construction. Suitable for professional diving and everyday wear. Renowned for its precision and luxury.","Rolex Submariner","8000.00",50,"2022-10-20",True,"../Images/product-25.png","Watches","4"
56,"Omega","Omega Speedmaster is an iconic chronograph. Associated with the moon landing history. Combines style and functionality. A symbol of precision and durability.","Omega Speedmaster","5000.00",70,"2023-05-10",True,"../Images/product-26.png","Watches","4"
57,"Casio","Casio G-Shock is a durable digital watch. Features multiple functions for various needs. Shock-resistant and waterproof. Ideal for outdoor and adventurous activities.","Casio G-Shock","80.00",200,"2023-04-15",False,"../Images/product-27.png","Watches","3"
58,"Tag Heuer","Tag Heuer Carrera is a luxury watch with sleek design. Combines elegance with performance. Features precision engineering. Suitable for both formal and casual wear.","Tag Heuer Carrera","3000.00",60,"2022-12-05",True,"../Images/product-28.png","Watches","4"
59,"Swatch","Swatch Irony is a stylish watch with a unique design. Combines fun and functionality. Lightweight and comfortable to wear. A perfect accessory for any outfit.","Swatch Irony","150.00",130,"2022-08-25",True,"../Images/product-29.png","Watches","3"
60,"Fossil","Fossil Q Marshal is a smartwatch with a classic design. Features various smart functions. Compatible with both Android and iOS. A blend of traditional and modern styles.","Fossil Q Marshal","250.00",140,"2023-06-20",False,"../Images/product-30.png","Watches","2"
61,"Michael Kors","Michael Kors Access is a fashionable smartwatch. Offers numerous features for daily use. Stylish design fits any occasion. A blend of luxury and technology.","Michael Kors Access","300.00",100,"2023-01-10",True,"../Images/product-31.png","Watches","4"
62,"Garmin","Garmin Fenix 6 is a multi-sport GPS watch. Features advanced tracking for various activities. Durable and water-resistant. Ideal for athletes and outdoor enthusiasts.","Garmin Fenix 6","600.00",90,"2022-11-15",True,"../Images/product-32.png","Watches","4"
